State Name,District Name,GENERAL Current Population,GENERAL Covered Population,Minority Current Population,Minority Covered Population,Total Current Population,Total Covered Population,gcg,mcm,tct
ANDHRA PRADESH,ADILABAD(19),1235000.0,1009975.0,831129.0,676873.0,2066129.0,1686848.0,0.8177935222672065,0.8144018557889329,0.8164291774618139
ANDHRA PRADESH,ANANTAPUR(12),2448219.0,2285861.0,567021.0,534506.0,3015240.0,2820367.0,0.9336832203328216,0.9426564448230312,0.9353706504291532
ANDHRA PRADESH,CHITTOOR(10),2459459.0,2240233.0,756482.0,692223.0,3215941.0,2932456.0,0.9108641371943993,0.9150554805005274,0.9118500619258874
ANDHRA PRADESH,EAST GODAVARI(04),3226208.0,2679599.0,1065444.0,883533.0,4291652.0,3563132.0,0.8305723003600511,0.8292627299041526,0.8302471868641725
ANDHRA PRADESH,GUNTUR(07),2624450.0,2217382.0,800232.0,675270.0,3424682.0,2892652.0,0.8448939777858218,0.8438427855921783,0.8446483498321888
ANDHRA PRADESH,KADAPA(11),1653972.0,1349274.0,374159.0,284388.0,2028131.0,1633662.0,0.81577801800756,0.7600725894606304,0.8055012225541645
ANDHRA PRADESH,KARIMNAGAR(20),2262251.0,1917416.0,652318.0,544802.0,2914569.0,2462218.0,0.8475699646060495,0.8351785478861536,0.8447966062906728
ANDHRA PRADESH,KHAMMAM(22),1276664.0,1072466.0,1049386.0,901115.0,2326050.0,1973581.0,0.8400534518087767,0.8587069009878158,0.8484688635239999
ANDHRA PRADESH,KRISHNA(06),2345107.0,2179270.0,744421.0,690948.0,3089528.0,2870218.0,0.929283823723182,0.9281683348535305,0.9290150469586292
ANDHRA PRADESH,KURNOOL(13),2170688.0,1770826.0,542904.0,444929.0,2713592.0,2215755.0,0.8157902010791048,0.8195353137939673,0.8165394797744097
ANDHRA PRADESH,MAHABOOBNAGAR(14),2641911.0,2142178.0,892328.0,704837.0,3534239.0,2847015.0,0.8108441200328096,0.7898855577769609,0.8055524824438868
ANDHRA PRADESH,MEDAK(17),1987816.0,1728604.0,640690.0,553991.0,2628506.0,2282595.0,0.8695996007678779,0.8646787057703413,0.8684001482210807
ANDHRA PRADESH,NALGONDA(23),2359311.0,2088207.0,884325.0,753427.0,3243636.0,2841634.0,0.8850918763995081,0.8519797585729229,0.8760643919354699
ANDHRA PRADESH,NELLORE(09),1550418.0,1353827.0,770214.0,678970.0,2320632.0,2032797.0,0.8732012915226732,0.8815342229562174,0.8759669779611761
ANDHRA PRADESH,NIZAMABAD(18),1654883.0,1443825.0,511319.0,440243.0,2166202.0,1884068.0,0.8724634913767317,0.8609947997238514,0.8697563754442107
ANDHRA PRADESH,PRAKASAM(08),2212451.0,1688945.0,763116.0,579296.0,2975567.0,2268241.0,0.7633818782879259,0.7591191902672726,0.7622886663281317
ANDHRA PRADESH,RANGAREDDY(15),1423146.0,1246359.0,520227.0,443056.0,1943373.0,1689415.0,0.8757773271329856,0.8516589873266862,0.8693210207201603
ANDHRA PRADESH,SRIKAKULAM(01),2034120.0,1705731.0,371093.0,285955.0,2405213.0,1991686.0,0.8385596719957524,0.7705750310569048,0.828070528472946
ANDHRA PRADESH,VISAKHAPATNAM(03),1667583.0,1377687.0,806524.0,531118.0,2474107.0,1908805.0,0.8261579783435068,0.6585272105975768,0.7715127114550826
ANDHRA PRADESH,VIZIANAGARAM(02),1574066.0,1394818.0,425310.0,363618.0,1999376.0,1758436.0,0.8861242158842132,0.854948155463074,0.8794924016293083
ANDHRA PRADESH,WARANGAL(21),1978146.0,1761440.0,1164548.0,953221.0,3142694.0,2714661.0,0.8904499465661281,0.8185330274063414,0.8638006118317596
ANDHRA PRADESH,WEST GODAVARI(05),2580414.0,2359853.0,777606.0,719578.0,3358020.0,3079431.0,0.9145249560729403,0.9253760902050653,0.9170377186556363
ANDMAN and NICOBAR,NICOBARS,16831.0,15350.0,28414.0,21778.0,45245.0,37128.0,0.9120076050145565,0.7664531568944887,0.8205989612111836
ANDMAN and NICOBAR,North and Middle Andaman,106533.0,104238.0,245.0,189.0,106778.0,104427.0,0.9784573794035651,0.7714285714285715,0.9779823559160127
ANDMAN and NICOBAR,SOUTH ANDAMAN,88555.0,84060.0,1386.0,1383.0,89941.0,85443.0,0.949240584947208,0.9978354978354979,0.9499894375201521
ARUNACHAL PRADESH,ANJAW,1513.0,1224.0,19524.0,17192.0,21037.0,18416.0,0.8089887640449438,0.8805572628559721,0.8754099919189998
ARUNACHAL PRADESH,CHANGLANG,73699.0,58140.0,52155.0,40694.0,125854.0,98834.0,0.7888845167505665,0.7802511743840476,0.7853067840513611
ARUNACHAL PRADESH,DIBANG VALLEY,3394.0,2888.0,7241.0,5910.0,10635.0,8798.0,0.8509133765468474,0.816185609722414,0.8272684532204984
ARUNACHAL PRADESH,EAST KAMENG,0.0,0.0,47272.0,33237.0,47272.0,33237.0,,0.703101201556947,0.703101201556947
ARUNACHAL PRADESH,EAST SIANG,11648.0,9490.0,61630.0,45001.0,73278.0,54491.0,0.8147321428571429,0.7301801070907026,0.7436201861404514
ARUNACHAL PRADESH,KURUNG KUMEY,23.0,11.0,46616.0,24149.0,46639.0,24160.0,0.4782608695652174,0.5180410159601854,0.5180213984004803
ARUNACHAL PRADESH,LOHIT,60932.0,52416.0,49395.0,42794.0,110327.0,95210.0,0.8602376419615309,0.8663629922056888,0.8629800502143627
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,21011.0,17721.0,25101.0,18648.0,46112.0,36369.0,0.8434153538622626,0.7429186088203658,0.7887100971547536
ARUNACHAL PRADESH,LOWER SUBANSIRI,976.0,505.0,47065.0,24940.0,48041.0,25445.0,0.5174180327868853,0.5299054499096993,0.5296517557919277
ARUNACHAL PRADESH,PAPUM PARE,725.0,432.0,66921.0,42169.0,67646.0,42601.0,0.5958620689655172,0.6301310500440819,0.6297637702155338
ARUNACHAL PRADESH,TAWANG,0.0,0.0,34215.0,22432.0,34215.0,22432.0,,0.6556188806079205,0.6556188806079205
ARUNACHAL PRADESH,TIRAP,0.0,0.0,95083.0,79610.0,95083.0,79610.0,,0.8372684917387966,0.8372684917387966
ARUNACHAL PRADESH,UPPER SIANG,1557.0,1241.0,35836.0,24279.0,37393.0,25520.0,0.7970456005138086,0.6775030695390111,0.6824806782018025
ARUNACHAL PRADESH,UPPER SUBANSIRI,529.0,529.0,43736.0,26131.0,44265.0,26660.0,1.0,0.5974711907810499,0.602281712413871
ARUNACHAL PRADESH,WEST KAMENG,27547.0,17850.0,47617.0,36151.0,75164.0,54001.0,0.6479834464733002,0.7592036457567676,0.7184423394178064
ARUNACHAL PRADESH,WEST SIANG,1.0,0.0,92678.0,66482.0,92679.0,66482.0,0.0,0.7173439219663782,0.7173361818750742
ASSAM,BAKSHA,585541.0,410547.0,454075.0,325172.0,1039616.0,735719.0,0.701141337668925,0.7161195837692012,0.7076834138758926
ASSAM,BARPETA,1219481.0,1007806.0,120921.0,111280.0,1340402.0,1119086.0,0.8264220598762916,0.9202702590947809,0.8348883394683088
ASSAM,BONGAIGAON,413344.0,370694.0,52577.0,44547.0,465921.0,415241.0,0.8968171789115119,0.8472716206706354,0.8912261949987229
ASSAM,CACHAR,1103048.0,1019541.0,314082.0,279193.0,1417130.0,1298734.0,0.9242943190142224,0.8889175438261345,0.9164536775031225
ASSAM,CHIRANG,342360.0,217950.0,238975.0,167390.0,581335.0,385340.0,0.6366105853487557,0.7004498378491474,0.6628536042041164
ASSAM,DARRANG,743113.0,587090.0,78590.0,59688.0,821703.0,646778.0,0.7900413530647425,0.7594859396869831,0.7871189468700979
ASSAM,DHEMAJI,257137.0,205109.0,344514.0,273335.0,601651.0,478444.0,0.7976642801308252,0.7933930116047534,0.795218490453768
ASSAM,DHUBRI,1513351.0,1089527.0,101311.0,74738.0,1614662.0,1164265.0,0.719943357489439,0.7377086397330991,0.7210580294823313
ASSAM,DIBRUGARH,950989.0,526019.0,129781.0,72192.0,1080770.0,598211.0,0.5531283747761541,0.5562601613487337,0.5535044459043089
ASSAM,GOALPARA,566981.0,404527.0,283021.0,184826.0,850002.0,589353.0,0.7134754074651531,0.6530469470463323,0.6933548391650843
ASSAM,GOLAGHAT,808088.0,569996.0,166405.0,125252.0,974493.0,695248.0,0.7053637722624269,0.752693729154773,0.7134458636439667
ASSAM,HAILAKANDI,478657.0,359355.0,92777.0,69154.0,571434.0,428509.0,0.7507568049772593,0.7453787037735645,0.749883626105552
ASSAM,JORHAT,743171.0,493646.0,197217.0,131952.0,940388.0,625598.0,0.6642428189474563,0.6690701105888438,0.6652551925375483
ASSAM,KAMRUP,1402955.0,880907.0,371468.0,236807.0,1774423.0,1117714.0,0.6278939809188463,0.6374896357155933,0.6299027909354196
ASSAM,KARBI ANGLONG,98336.0,53215.0,710989.0,384627.0,809325.0,437842.0,0.5411548161405793,0.5409746142345381,0.5409965094368764
ASSAM,KARIMGANJ,886564.0,615981.0,205804.0,148998.0,1092368.0,764979.0,0.6947958635811966,0.7239800975685604,0.7002942231921844
ASSAM,KOKRAJHAR,482808.0,353094.0,320243.0,245424.0,803051.0,598518.0,0.731334194959487,0.7663680392701792,0.7453050927027051
ASSAM,LAKHIMPUR,566105.0,523042.0,365006.0,345675.0,931111.0,868717.0,0.9239310728575088,0.9470392267524369,0.9329897294737147
ASSAM,MARIGAON,555578.0,409948.0,276718.0,208603.0,832296.0,618551.0,0.7378765897857726,0.7538468766036182,0.743186318329056
ASSAM,NAGAON,1896421.0,1332204.0,402900.0,271052.0,2299321.0,1603256.0,0.7024832566186516,0.6727525440555969,0.6972736734018434
ASSAM,NALBARI,640209.0,475674.0,68225.0,55802.0,708434.0,531476.0,0.7429979897189823,0.817911322828875,0.750212440396706
ASSAM,NORTH CACHAR HILLS,23664.0,16350.0,119547.0,73552.0,143211.0,89902.0,0.690922920892495,0.615255924448125,0.6277590408558001
ASSAM,SIBSAGAR,1015529.0,576158.0,87141.0,59572.0,1102670.0,635730.0,0.5673476582155704,0.6836276838686726,0.5765369512184062
ASSAM,SONITPUR,1442526.0,862773.0,283833.0,165082.0,1726359.0,1027855.0,0.5980987517729317,0.5816166548639516,0.5953889081008064
ASSAM,TINSUKIA,815259.0,482517.0,230781.0,155959.0,1046040.0,638476.0,0.5918573116028157,0.6757878681520576,0.6103743642690528
ASSAM,UDALGURI,536556.0,380193.0,306652.0,220243.0,843208.0,600436.0,0.7085802786661597,0.7182180452108579,0.7120852743332606
BIHAR,ARARIA,2198181.0,2145490.0,363407.0,360538.0,2561588.0,2506028.0,0.976029726396507,0.9921052703993044,0.9783103293738104
BIHAR,ARWAL,563139.0,529807.0,147832.0,144989.0,710971.0,674796.0,0.9408103505528831,0.9807687104280535,0.9491188810795377
BIHAR,AURANGABAD,1713105.0,1612234.0,549571.0,542507.0,2262676.0,2154741.0,0.9411180283753768,0.9871463377798319,0.9522976334216653
BIHAR,BANKA,1543174.0,1334434.0,318806.0,313445.0,1861980.0,1647879.0,0.8647333353205795,0.9831841307880027,0.8850143395740019
BIHAR,BEGUSARAI,2618456.0,2568608.0,466079.0,457752.0,3084535.0,3026360.0,0.9809628269484001,0.982133930084814,0.9811397828197768
BIHAR,BHAGALPUR,2028012.0,2020419.0,328040.0,326621.0,2356052.0,2347040.0,0.9962559393139686,0.9956743080112181,0.9961749570892323
BIHAR,BHOJPUR(AARA),1853023.0,1705076.0,373859.0,346097.0,2226882.0,2051173.0,0.9201591129737732,0.9257420578346381,0.9210964029526486
BIHAR,BUXAR,1293860.0,1280312.0,248319.0,248199.0,1542179.0,1528511.0,0.9895290062294221,0.9995167506312445,0.9911372155891113
BIHAR,DARBHANGA,3182207.0,3029767.0,601305.0,590056.0,3783512.0,3619823.0,0.9520961395660308,0.9812923557928173,0.9567362281393583
BIHAR,GAYA,2711252.0,2552951.0,1295783.0,1273340.0,4007035.0,3826291.0,0.9416133210782325,0.982679970334539,0.9548933313534821
BIHAR,GOPALGANJ,1889648.0,1757291.0,259373.0,256305.0,2149021.0,2013596.0,0.9299567961863797,0.9881714750571571,0.9369829331588663
BIHAR,JAMUI,1198518.0,1136172.0,352358.0,338617.0,1550876.0,1474789.0,0.947980756233949,0.9610027301778306,0.9509393400890851
BIHAR,JEHANABAD,792041.0,726090.0,189293.0,178910.0,981334.0,905000.0,0.9167328459006542,0.9451485263586081,0.9222140474089352
BIHAR,KAIMUR (BHABUA),1132740.0,1097031.0,377233.0,371583.0,1509973.0,1468614.0,0.9684755548493035,0.9850225192387728,0.972609444009926
BIHAR,KATIHAR,2157185.0,2113824.0,408506.0,403686.0,2565691.0,2517510.0,0.9798992668686274,0.9882009076978061,0.9812210433758392
BIHAR,KHAGARIA,1123275.0,1119930.0,222401.0,221803.0,1345676.0,1341733.0,0.997022100554183,0.9973111631692304,0.9970698741747642
BIHAR,KISHANGANJ,1154574.0,1153112.0,137296.0,137162.0,1291870.0,1290274.0,0.9987337320951277,0.999024006526046,0.9987645815755455
BIHAR,LAKHISARAI,636669.0,575282.0,131407.0,121389.0,768076.0,696671.0,0.9035809816403815,0.9237635742388153,0.9070339393497518
BIHAR,MADHEPURA,1725661.0,1694431.0,381295.0,379962.0,2106956.0,2074393.0,0.9819025868927906,0.996504019197734,0.9845450023635994
BIHAR,MADHUBANI,3632611.0,3458211.0,570141.0,541970.0,4202752.0,4000181.0,0.95199045535016,0.9505894156007023,0.9518003917433149
BIHAR,MUNGER,807064.0,801107.0,151263.0,150351.0,958327.0,951458.0,0.9926189248931931,0.9939707661490252,0.9928323004569422
BIHAR,MUZAFFARPUR,2998675.0,2933076.0,580078.0,573491.0,3578753.0,3506567.0,0.9781240047687729,0.9886446305496847,0.9798292869052433
BIHAR,NALANDA,1870879.0,1716370.0,502741.0,440857.0,2373620.0,2157227.0,0.9174136862939827,0.8769067969391794,0.9088341857584618
BIHAR,NAWADA,1493821.0,1452203.0,503529.0,487475.0,1997350.0,1939678.0,0.9721399016348009,0.9681170300022441,0.9711257416076301
BIHAR,PASHCHIM CHAMPARAN,2856228.0,2755513.0,545244.0,532718.0,3401472.0,3288231.0,0.9647384592546533,0.9770267990110849,0.9667082369044931
BIHAR,PATNA,2732336.0,2550405.0,643327.0,607233.0,3375663.0,3157638.0,0.933415582856574,0.9438947844564273,0.9354126878186596
BIHAR,PURBA CHAMPARAN,3947017.0,2768889.0,611582.0,499000.0,4558599.0,3267889.0,0.7015143334827288,0.8159167535996809,0.7168625711539883
BIHAR,PURNIA,2484078.0,2480100.0,519414.0,517947.0,3003492.0,2998047.0,0.9983986010101132,0.9971756633436911,0.9981871102037229
BIHAR,ROHTAS,1936897.0,1797480.0,484130.0,459411.0,2421027.0,2256891.0,0.9280204368120762,0.9489414000371801,0.9322039778986356
BIHAR,SAHARSA,1406301.0,1240636.0,303527.0,278438.0,1709828.0,1519074.0,0.8821980500618288,0.9173417850800752,0.8884367316478616
BIHAR,SAMASTIPUR,3229662.0,3154414.0,762763.0,754597.0,3992425.0,3909011.0,0.976700967469661,0.9892941844321237,0.9791069337558
BIHAR,SARAN,3153689.0,2781036.0,421947.0,403152.0,3575636.0,3184188.0,0.8818358436738689,0.9554564909810948,0.8905235320373774
BIHAR,SHEIKHPURA,420752.0,408965.0,109985.0,107628.0,530737.0,516593.0,0.9719858729132601,0.9785698049734055,0.9733502657625152
BIHAR,SHEOHAR,550303.0,416169.0,91780.0,75864.0,642083.0,492033.0,0.756254281732064,0.8265853127042929,0.7663074711524834
BIHAR,SITAMARHI,2962014.0,2655460.0,417876.0,410854.0,3379890.0,3066314.0,0.8965048780998334,0.9831959720108358,0.9072230161336612
BIHAR,SIWAN,2669984.0,2320709.0,363237.0,328883.0,3033221.0,2649592.0,0.8691846093459736,0.905422630403841,0.8735242173254109
BIHAR,SUPAUL,1630526.0,1433423.0,315271.0,294710.0,1945797.0,1728133.0,0.8791169230052143,0.9347830913721845,0.8881363266568918
BIHAR,VAISHALI,2429760.0,2066708.0,638023.0,596288.0,3067783.0,2662996.0,0.8505811273541419,0.9345869976474203,0.8680522709722298
CHANDIGARH,CHANDIGARH,64696.0,64696.0,16701.0,16701.0,81397.0,81397.0,1.0,1.0,1.0
CHHATTISGARH,BALOD,432703.0,374347.0,294131.0,248721.0,726834.0,623068.0,0.8651361326360113,0.8456130091693838,0.8572356273922244
CHHATTISGARH,BALODA BAZAR,572441.0,451281.0,322140.0,240228.0,894581.0,691509.0,0.7883449997466988,0.7457254609796983,0.7729976380003599
CHHATTISGARH,BALRAMPUR,208195.0,169309.0,447990.0,350969.0,656185.0,520278.0,0.8132231801916473,0.7834304337150383,0.7928831046122664
CHHATTISGARH,BASTAR,192949.0,121256.0,494514.0,347003.0,687463.0,468259.0,0.6284354933168869,0.7017051084499124,0.6811406577517627
CHHATTISGARH,BEMETARA,459030.0,392538.0,128351.0,105861.0,587381.0,498399.0,0.8551467224364421,0.8247773683103365,0.8485105919326638
CHHATTISGARH,BIJAPUR,11706.0,10881.0,248603.0,208014.0,260309.0,218895.0,0.9295233213736546,0.8367316564965025,0.8409044635414066
CHHATTISGARH,BILASPUR,627745.0,594938.0,545333.0,510809.0,1173078.0,1105747.0,0.9477383332404081,0.9366918928434553,0.9426031346594174
CHHATTISGARH,DANTEWADA,33839.0,28393.0,184915.0,159417.0,218754.0,187810.0,0.839061437985756,0.8621096179325636,0.8585443009042121
CHHATTISGARH,DHAMTARI,438410.0,409266.0,243300.0,226043.0,681710.0,635309.0,0.933523414155699,0.9290711056309083,0.9319344002581743
CHHATTISGARH,DURG,446099.0,377985.0,133640.0,106976.0,579739.0,484961.0,0.8473119195514897,0.8004788985333733,0.8365160874117491
CHHATTISGARH,GARIYABAND,296809.0,231228.0,253219.0,187223.0,550028.0,418451.0,0.7790464574861274,0.7393718480840695,0.7607812693171984
CHHATTISGARH,JANJGIR-CHAMPA,809347.0,718803.0,492846.0,434044.0,1302193.0,1152847.0,0.8881270950531724,0.8806888967344769,0.8853119314878823
CHHATTISGARH,JASHPUR,245756.0,204936.0,539620.0,462194.0,785376.0,667130.0,0.8339002913458878,0.8565175493866054,0.8494402681008841
CHHATTISGARH,KANKER,221922.0,203065.0,463497.0,425141.0,685419.0,628206.0,0.9150287037788052,0.9172464978198349,0.9165284300551925
CHHATTISGARH,KAWARDHA,391119.0,362161.0,207119.0,185546.0,598238.0,547707.0,0.9259611524881174,0.8958424866863977,0.9155336170554195
CHHATTISGARH,KONDAGAON,122271.0,78510.0,394958.0,283927.0,517229.0,362437.0,0.6420982898643178,0.7188789694094055,0.7007283040974114
CHHATTISGARH,KORBA,216366.0,182502.0,500511.0,415804.0,716877.0,598306.0,0.8434874240869638,0.8307589643384461,0.8346006358133962
CHHATTISGARH,KORIYA,164499.0,145178.0,292565.0,262222.0,457064.0,407400.0,0.8825463984583493,0.8962862953531694,0.8913412563667232
CHHATTISGARH,MAHASAMUND,491388.0,426896.0,354562.0,305005.0,845950.0,731901.0,0.8687554437633804,0.8602303687366385,0.8651823393817601
CHHATTISGARH,MUNGELI,316133.0,298343.0,192809.0,181822.0,508942.0,480165.0,0.9437262164974868,0.9430161455118796,0.943457211234286
CHHATTISGARH,NARAYANPUR,15568.0,12558.0,89036.0,72951.0,104604.0,85509.0,0.8066546762589928,0.8193427377689924,0.8174543994493518
CHHATTISGARH,RAIGARH,559274.0,500226.0,647390.0,550479.0,1206664.0,1050705.0,0.8944202662737764,0.8503050711317753,0.8707519243136449
CHHATTISGARH,RAIPUR,617465.0,464359.0,196750.0,151150.0,814215.0,615509.0,0.7520410063728309,0.7682337992376111,0.7559538942416929
CHHATTISGARH,RAJNANDAGON,708194.0,608442.0,437770.0,376115.0,1145964.0,984557.0,0.8591459402367148,0.8591612033716335,0.8591517709107791
CHHATTISGARH,SUKMA,26285.0,21832.0,237305.0,203786.0,263590.0,225618.0,0.8305877877116226,0.8587513958829355,0.8559429416897454
CHHATTISGARH,SURAJPUR,328377.0,273946.0,364335.0,308999.0,692712.0,582945.0,0.8342423494946357,0.8481178036696996,0.8415402071856702
CHHATTISGARH,SURGUJA,227467.0,192895.0,461738.0,384601.0,689205.0,577496.0,0.8480131183864033,0.8329420580502362,0.8379161497667602
DADRA & NAGAR HAVELI,DADRA AND NAGAR HAVELI,38564.0,0.0,130100.0,0.0,168664.0,0.0,0.0,0.0,0.0
DAMAN & DIU,DAMAN,64772.0,0.0,13447.0,0.0,78219.0,0.0,0.0,0.0,0.0
GOA,NORTH GOA,451215.0,395431.0,10034.0,9407.0,461249.0,404838.0,0.8763693582881775,0.9375124576440104,0.8776994638470761
GOA,SOUTH GOA,291673.0,278693.0,2009.0,1896.0,293682.0,280589.0,0.9554981091839149,0.9437531110004977,0.9554177647932117
GUJARAT,AHMADABAD,1137383.0,1121474.0,159637.0,159557.0,1297020.0,1281031.0,0.986012627232867,0.9994988630455346,0.9876725108325238
GUJARAT,AMRELI,1119570.0,1116234.0,111182.0,111181.0,1230752.0,1227415.0,0.9970202845735416,0.999991005738339,0.9972886495410935
GUJARAT,ANAND  ,1433230.0,1424404.0,98501.0,98501.0,1531731.0,1522905.0,0.9938418816240241,1.0,0.9942378916402423
GUJARAT,BANAS KANTHA,2037374.0,2014842.0,497425.0,497425.0,2534799.0,2512267.0,0.9889406657785954,1.0,0.9911109322672133
GUJARAT,BHARUCH,645274.0,644163.0,506434.0,504798.0,1151708.0,1148961.0,0.9982782507895871,0.9967695691837436,0.9976148468188117
GUJARAT,BHAVNAGAR,1608283.0,1608283.0,102018.0,102018.0,1710301.0,1710301.0,1.0,1.0,1.0
GUJARAT,DANG,5457.0,5019.0,205909.0,200932.0,211366.0,205951.0,0.919736118746564,0.9758291284013811,0.9743809316540977
GUJARAT,DOHAD  ,359713.0,359713.0,1316024.0,1316024.0,1675737.0,1675737.0,1.0,1.0,1.0
GUJARAT,GANDHINAGAR,932381.0,932381.0,63619.0,63619.0,996000.0,996000.0,1.0,1.0,1.0
GUJARAT,JAMNAGAR,1086090.0,1086090.0,99002.0,99002.0,1185092.0,1185092.0,1.0,1.0,1.0
GUJARAT,JUNAGADH,1710400.0,1689603.0,229111.0,229111.0,1939511.0,1918714.0,0.9878408559401309,1.0,0.9892771940968625
GUJARAT,KACHCHH,1019567.0,1019567.0,277786.0,277786.0,1297353.0,1297353.0,1.0,1.0,1.0
GUJARAT,KHEDA,1709124.0,1705046.0,130994.0,130994.0,1840118.0,1836040.0,0.9976139823675755,1.0,0.997783837775621
GUJARAT,MAHESANA,1486432.0,1486432.0,137734.0,137734.0,1624166.0,1624166.0,1.0,1.0,1.0
GUJARAT,NARMADA  ,80039.0,76829.0,489398.0,456145.0,569437.0,532974.0,0.9598945514061895,0.9320532572670914,0.9359665775142817
GUJARAT,NAVSARI  ,361642.0,347900.0,633390.0,614884.0,995032.0,962784.0,0.962001095005558,0.9707826141871517,0.967590992048497
GUJARAT,PANCH MAHALS,1311987.0,1307143.0,702843.0,699098.0,2014830.0,2006241.0,0.9963078902458637,0.9946716407504947,0.9957371093342863
GUJARAT,PATAN  ,962170.0,962170.0,115078.0,115078.0,1077248.0,1077248.0,1.0,1.0,1.0
GUJARAT,PORBANDAR  ,276907.0,276907.0,36337.0,36337.0,313244.0,313244.0,1.0,1.0,1.0
GUJARAT,RAJKOT,1589797.0,1589797.0,165432.0,165432.0,1755229.0,1755229.0,1.0,1.0,1.0
GUJARAT,SABAR KANTHA,1479002.0,1465556.0,632470.0,597273.0,2111472.0,2062829.0,0.9909087344033342,0.9443499296409316,0.9769625171444376
